subject_id,session_id,split,snr_subplate,snr_cortical_plate,snr_inner,cnr_sp_cp,cnr_sp_inner,cnr_cp_inner,sp_mean_intensity,sp_std_intensity,sp_volume_voxels,cp_mean_intensity,cp_std_intensity,cp_volume_voxels,inner_mean_intensity,inner_std_intensity,inner_volume_voxels
1109332,MR-EI_Fetal_Body-26810110-20230404,S1,7.127094699714288,3.0928147233125625,4.683560398157976,2.451506835335377,0.0796787292871793,1.972517671600771,644.1117740595136,90.37508286305426,301418,379.80359238656536,122.80192199155609,358456,634.9321360506009,135.56612535632442,633576
FCB145,2019.03.20-032Y-MR_EI_Fetal_Neuro-29197,S1,7.942484031079918,2.880885704448217,3.1598548822141668,2.837377787101865,0.1454239625918137,1.837400652272499,576.7669620541235,72.61795677487841,345597,313.9988822201142,108.99387009185608,327754,597.5988079671052,189.122231951474,647597
FCB149,2019.04.11-030Y-MR_EI_Fetal_Neuro-29205,S1,5.940334436652893,2.495475718327406,3.268798303185607,2.4960803394405504,0.0342206436551216,1.789272782444203,518.8493801697911,87.34346284754616,351208,272.2078226358286,109.08053347771144,378105,514.4936569845445,157.39535121611655,598187
FCB195,MR-EI_Fetal_Neuro-26792482-20230322,S1,6.093068570660037,2.762757038115113,3.476765866673869,2.397578061426545,0.0963150976655829,1.7119438535433051,560.2825958808621,91.95409330838515,333865,312.9383090896644,113.27029658140552,434224,547.8572083792791,157.5766759650686,565613
FCB187,2022.06.10-MR-EI_Fetal_Neuro-26465115,S1,7.388818069218997,2.7666712593603204,3.353591479781956,2.3675139647333183,0.1106039088870057,1.694000194878898,520.7800447439897,70.48218535972649,311292,302.83478814167535,109.45817545800271,470224,534.4075442027895,159.3537994787414,488382
FCB191,MR-EI_Fetal_Neuro-26708033-20230113,S1,8.368331780368962,3.798980322546838,4.301467079269928,2.7849314933696347,0.2001734448816729,2.106086382118072,662.6209348202896,79.18196269114398,301431,402.2534563151347,105.8845853788113,311231,687.8790357727723,159.9173080012328,697377
FCB130,2018.11.02-030Y-MR_EI_Fetal_Neuro-29188,S1,7.0747439439042,3.1433789439684903,3.916247576819715,2.7199915027303825,0.1256916023565678,2.071631120919571,608.1700580046926,85.96354339137731,319791,341.6471110475753,108.68785378330766,347322,624.2662966901391,159.40419609454057,650479
FCB139,2019.01.31-032Y-MR_EI_Fetal_Neuro-29172,S1,7.60091929208603,2.921623411387523,3.5314718367753324,2.835508132529424,0.1218191081179982,1.9831648810546207,586.5492680411481,77.16820104271531,369007,318.6628015001367,109.07045728689548,334754,602.68281519073,170.6605186298338,607183
4712320,MR-EI_Fetal_Body-26831832-20230502,S1,6.84420751006124,3.3582123468530933,3.798525335829251,2.596079052086656,0.0809147955999807,1.923109357081972,602.0476395788847,87.96455085469753,319466,351.1923338451969,104.57716712711496,409769,612.5577191304386,161.2619806303627,593636
FCB184,MR-EI_Fetal_Neuro-26337195-20220126,S1,7.232533851196096,3.261956412903877,3.1128458264669927,2.500194605527463,0.114429680291652,1.6245595998712783,593.1193228660906,82.00712711050805,368681,353.0514346812206,108.23303257045217,411746,610.3154162514276,196.06348989796305,571447
FCB117,2018.03.01-032Y-MR_EI_Fetal_Neuro-18053,S1,8.917056094683657,4.331976955538355,4.975440830583089,2.7726463844716296,0.1170453040894003,2.1419218222358345,701.2304023786498,78.6392274460091,317552,446.9080670012351,103.16492252570066,386332,714.7852129563306,143.66268985909383,609012
FCB077,2016.02.02-025Y-MR_EI_Fetal_Neuro-7880,S1,8.234629161542875,2.803394468582761,4.815985497792151,3.031302216607647,0.0579232450141266,2.454006699519813,627.5426956605477,76.20776641543002,314309,328.1521737372312,117.05529757398948,284362,633.7711955217871,131.59740531036363,688251
FCB078,2016.03.04-036Y-MR_EI_Fetal_Neuro-7879,S1,7.842475922779821,2.6820231515777087,3.5301669087225287,3.065110153910771,0.117723653051618,2.1219653929571067,624.6945820638513,79.65527573368996,333127,316.2695434946522,117.9220035101508,298141,641.204566640695,181.63576488589587,669320
FCB141,2019.04.03-032Y-MR_EI_Fetal_Neuro-29199,S1,8.607599246585476,4.215514974826839,4.550536279657834,2.8911783931963164,0.1063675626607713,2.1205704712474267,629.9578880389906,73.18624740677684,338911,389.1285060085466,92.30865228382469,406115,641.9106142165542,141.062629713793,621047
FCB168,2020.03.12-021Y-MR_EI_Fetal_Neuro-30926,S1,7.993545531045501,4.062315979366623,4.636795825727682,2.667444392366757,0.045995480108751,2.0297721574397785,665.7488505356514,83.28580201989242,332715,416.5734992210783,102.54581409642792,422345,671.1803448168399,144.75089480816362,584235
FCB155,2019.06.25-032Y-MR_EI_Fetal_Neuro-29190,S1,7.971389419032561,3.0668599815548787,3.62232776841011,2.936150189412176,0.0838765238466481,1.89562770422146,646.7130454346373,81.1292751412369,318397,353.86661548270524,115.38401414181848,290112,635.2527535895933,175.37141700139813,721123
FCB105-B,2018.11.14-036Y-MR_EI_Fetal_Neuro-29459,S1,9.192806531750245,3.366543642754182,3.7268655643303528,2.9512532361020924,0.1195975695064641,1.9573045382195065,626.6222354681682,68.16441021617626,365081,361.3024022091436,107.32146692551436,317176,642.2954852357888,172.3420054061427,652994
FCB090,2016.07.24-029Y-MR_EI_Fetal_Neuro-12836,S1,8.072521289563078,3.139994577374487,4.564605135091342,2.9077214001198235,0.0254726747495884,2.21382053033199,604.548494208932,74.88967480216493,341133,336.00396300701954,107.00781632813198,350250,601.817365256605,131.84434303638008,640939
FCB147,2019.05.08-036Y-MR_EI_Fetal_Neuro-29187,S1,8.547207167809736,3.915782003139708,4.084760468729309,2.8979936313573984,0.1110956422813559,2.013079534725094,562.0474223868105,65.75802029270783,355027,339.19026951381966,86.6213362342066,384577,574.2394070843034,140.5809254864186,561749
FCB070,2015.11.16-032Y-MR_EI_Fetal_Neuro-5581,S1,7.078047947153714,3.927555097574508,3.602345812363465,2.562964493077269,0.0450638749931876,1.6665064942659378,659.7312829239664,93.20808333733645,374669,407.10256722572666,103.6529232848028,423977,653.2343885634216,181.3358357549912,591974
FCB158,2019.07.07-034Y-MR_EI_Fetal_Neuro-29182,S1,8.809689279911154,3.843544606771731,4.451781643415777,2.936713283883862,0.1345237115429693,2.1619742121126846,636.3061032391081,72.22798478149336,356631,381.4275023880128,99.2384742240266,372636,651.8364955253063,146.42148868405934,633593
FCB114,2017.06.26-027Y-MR_EI_Fetal_Neuro-17914,S1,9.017158767182185,3.8381434259748217,3.811206845929194,2.987040784018938,0.1456598067093315,1.7750210008926413,618.9044831905976,68.6363076408382,315117,369.278079627084,96.21268374912115,300453,601.1861841379192,157.74168352474885,654191
5552729,MR-EI_Fetal_Neuro-26149163-20210623,S1,6.114784937662593,2.4534814524170288,4.0123084893388254,2.782032646211686,0.01959879267382959,2.2624235327875537,658.655230051796,107.71519141989158,292696,323.6382240747413,131.90979037396494,330792,661.3841250518691,164.8388021033887,675812
