,Coef,SE,t,p,CI_low,CI_high,sig
const,217.16,948.114,0.23,0.821,-1774.75,2209.07,
GA,12.927,31.78,0.41,0.689,-53.84,79.69,
qa_diff,-995.53,1100.808,-0.9,0.378,-3308.24,1317.18,
stack_count,-31.99,29.096,-1.1,0.286,-93.12,29.14,
snr_sp_diff,-145.118,224.278,-0.65,0.526,-616.31,326.07,
