,Coef,SE,t,p,CI_low,CI_high,sig
const,-2954.946,1424.973,-2.07,0.053,-5948.7,38.81,
GA,109.656,45.625,2.4,0.027,13.8,205.51,*
qa_diff,2952.552,1526.898,1.93,0.069,-255.34,6160.45,
stack_count,22.71,37.401,0.61,0.551,-55.87,101.29,
sh_sp_diff,103.301,550.089,0.19,0.853,-1052.39,1258.99,
