,Coef,SE,t,p,CI_low,CI_high,sig
const,-3431.796,1568.565,-2.19,0.044,-6757.01,-106.59,*
GA,115.031,50.078,2.3,0.035,8.87,221.19,*
qa_mean,673.739,967.82,0.7,0.496,-1377.95,2725.42,
stack_count,40.634,43.238,0.94,0.361,-51.03,132.3,
