,Coef,SE,t,p,CI_low,CI_high,sig
const,-8.258,1312.158,-0.01,0.995,-2789.91,2773.39,
GA,27.164,41.33,0.66,0.52,-60.45,114.78,
qa_mean,-368.811,650.699,-0.57,0.579,-1748.23,1010.61,
stack_count,-41.884,35.335,-1.19,0.253,-116.79,33.02,
