model,pair,N,R2,adj_R2,F_p,GA_coef,GA_p
M_acq-qa (vol),S1-S2,20,0.2,0.106,0.15,93.652,0.0664
M_acq-qa (vol),S3-S4,20,0.262,0.175,0.0756,119.044,0.0265
S_acq-qa (surf),S1-S2,20,0.098,-0.008,0.4166,26.908,0.5153
S_acq-qa (surf),S3-S4,20,0.141,0.04,0.2756,10.818,0.4319
T_acq-qa (thk),S1-S2,13,0.314,0.177,0.1519,0.032,0.0589
T_acq-qa (thk),S3-S4,13,0.312,0.175,0.1537,0.052,0.0717
