,Coef,SE,t,p,CI_low,CI_high,sig
const,-0.621,0.517,-1.2,0.26,-1.79,0.55,
GA,0.033,0.016,2.08,0.067,-0.0,0.07,
qa_mean,-0.163,0.398,-0.41,0.693,-1.06,0.74,
stack_count,-0.007,0.018,-0.37,0.721,-0.05,0.03,
