,Coef,SE,t,p,CI_low,CI_high,sig
const,195.143,394.381,0.49,0.627,-640.91,1031.19,
GA,13.577,12.591,1.08,0.297,-13.11,40.27,
qa_mean,-463.204,243.337,-1.9,0.075,-979.06,52.65,
stack_count,-22.68,10.871,-2.09,0.053,-45.73,0.37,
