model,pair,N,R2,adj_R2,F_p,GA_coef,GA_p
M_acq_qd (vol),S1-S2,20,0.217,0.07,0.2593,98.368,0.0637
M_acq_qd (vol),S3-S4,20,0.334,0.21,0.0819,119.523,0.024
S_acq_qd (surf),S1-S2,20,0.175,0.02,0.3666,35.045,0.3993
S_acq_qd (surf),S3-S4,20,0.297,0.165,0.1217,10.639,0.4083
T_acq_qd (thk),S1-S2,13,0.391,0.187,0.1964,0.037,0.0412
T_acq_qd (thk),S3-S4,13,0.357,0.143,0.2423,0.045,0.1381
