,Coef,SE,t,p,CI_low,CI_high,sig
const,-291.047,420.146,-0.69,0.497,-1173.74,591.65,
GA,20.576,13.452,1.53,0.144,-7.69,48.84,
qa_diff,-36.204,450.198,-0.08,0.937,-982.04,909.63,
stack_count,-18.467,11.028,-1.67,0.111,-41.64,4.7,
snr_sp_diff,-45.717,162.191,-0.28,0.781,-386.47,295.03,
