Model,Split,N,R_squared,Adj_R_squared,F_statistic,F_p_value,RMSE
M1,S1-S2,23,0.222,0.049,1.28,0.3137,486.36
M1,S3-S4,23,0.474,0.357,4.05,0.0163,479.47
M2,S1-S2,23,0.235,0.064,1.38,0.2807,482.36
M2,S3-S4,23,0.408,0.277,3.11,0.0416,508.33
M3,S1-S2,23,0.222,0.049,1.28,0.3137,486.36
M3,S3-S4,23,0.474,0.357,4.05,0.0163,479.47
