,Coef,SE,t,p,CI_low,CI_high,sig
const,-1546.341,1482.098,-1.04,0.312,-4688.25,1595.57,
GA,94.333,46.682,2.02,0.06,-4.63,193.29,
qa_mean,-981.609,734.972,-1.34,0.2,-2539.68,576.46,
stack_count,14.431,39.911,0.36,0.722,-70.18,99.04,
